EC_Id|DO_Numero|DO_Domaine|DateLecture
23714|FA2600803|0|2026-07-19 23:11:37.3166667
23715|FA2600804|0|2026-07-19 23:11:37.3166667
23716|FA2600812|0|2026-07-19 23:11:37.3200000
23717|FR2600111|0|2026-07-19 23:11:37.3233333
23718|FR2600112|0|2026-07-19 23:11:37.3266667
23720|FA2600822|0|2026-07-19 23:11:37.3266667
23721|FA2600824|0|2026-07-19 23:11:37.3300000
23722|FA2600825|0|2026-07-19 23:11:37.3333333
23723|FA2600828|0|2026-07-19 23:11:37.3366667
23725|FA2600837|0|2026-07-19 23:11:37.3400000
23726|FA2600843|0|2026-07-19 23:11:37.3400000
23727|FA2600850|0|2026-07-19 23:11:37.3433333
23728|FA2600853|0|2026-07-19 23:11:37.3466667
23729|FA2600854|0|2026-07-19 23:11:37.3500000
23730|FA2600855|0|2026-07-19 23:11:37.3533333
23731|FA2600856|0|2026-07-19 23:11:37.3566667
23732|FA2600858|0|2026-07-19 23:11:37.3600000
23733|FA2600859|0|2026-07-19 23:11:37.3600000
23734|FR2600122|0|2026-07-19 23:11:37.3633333
23738|FA2600876|0|2026-07-19 23:11:37.3666667
23739|FA2600877|0|2026-07-19 23:11:37.3700000
23740|FA2600882|0|2026-07-19 23:11:37.3733333
23741|FR2600129|0|2026-07-19 23:11:37.3766667
23743|FA2600891|0|2026-07-19 23:11:37.3766667
23744|FA2600898|0|2026-07-19 23:11:37.3800000
23745|FA2600899|0|2026-07-19 23:11:37.3833333
23746|FA2600906|0|2026-07-19 23:11:37.3866667
23748|FA2600914|0|2026-07-19 23:11:37.3900000
23749|FA2600919|0|2026-07-19 23:11:37.3900000
23750|FA2600924|0|2026-07-19 23:11:37.3933333
23751|FA2600928|0|2026-07-19 23:11:37.3966667
23754|FA2600933|0|2026-07-19 23:11:37.4000000
23756|FA2600947|0|2026-07-19 23:11:37.4033333
23757|FA2600952|0|2026-07-19 23:11:37.4066667
23758|FA2600955|0|2026-07-19 23:11:37.4100000
23762|FR2600135|0|2026-07-19 23:11:37.4133333
23765|FA2600976|0|2026-07-19 23:11:37.4166667
23767|FA2600978|0|2026-07-19 23:11:37.4200000
23770|FA2600994|0|2026-07-19 23:11:37.4233333
23771|FA2600997|0|2026-07-19 23:11:37.4266667
23772|FA2601002|0|2026-07-19 23:11:37.4266667
23773|FA2601006|0|2026-07-19 23:11:37.4300000
